,stance1_successrate,stance2_successrate,stance3_successrate,stance4_successrate,stance5_successrate,stance6_successrate,stance7_successrate,stance8_successrate,stance9_successrate,stance10_successrate,stance11_successrate,stance12_successrate,stance13_successrate,stance14_successrate,stance1_steps,stance2_steps,stance3_steps,stance4_steps,stance5_steps,stance6_steps,stance7_steps,stance8_steps,stance9_steps,stance10_steps,stance11_steps,stance12_steps,stance13_steps,stance14_steps,stance1_rewards,stance2_rewards,stance3_rewards,stance4_rewards,stance5_rewards,stance6_rewards,stance7_rewards,stance8_rewards,stance9_rewards,stance10_rewards,stance11_rewards,stance12_rewards,stance13_rewards,stance14_rewards
933,1,1,1,1,0,0,0,0,0,0,0,0,0,0,64,187,46,113,0,0,0,0,0,0,0,0,0,0,-22.016339349206685,-85.09643293910874,-23.75245589995007,-61.09829354776492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
934,1,1,1,0,0,0,0,0,0,0,0,0,0,0,73,500,45,0,0,0,0,0,0,0,0,0,0,0,-27.538092608509018,-203.76589550048266,-25.777427508016828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935,1,1,1,1,0,0,0,0,0,0,0,0,0,0,50,193,47,441,0,0,0,0,0,0,0,0,0,0,-21.672893274080533,-96.47790013668283,-24.827916243848126,-222.364521856022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,1,1,1,1,1,1,1,1,1,1,1,0,0,0,53,385,42,113,34,127,191,71,297,231,437,0,0,0,-22.324147075506456,-114.25160632161011,-24.164891393400236,-58.10812843619545,-18.06479545000312,-65.9292944584188,-93.67707071497829,-43.978135762164904,-205.8055045868415,-115.84576699273816,-209.26813717017697,0.0,0.0,0.0
937,1,1,1,1,0,0,0,0,0,0,0,0,0,0,49,294,56,97,0,0,0,0,0,0,0,0,0,0,-21.204384970413923,-108.98527993987396,-36.835440638608716,-54.53620671304222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
938,1,1,1,1,0,0,0,0,0,0,0,0,0,0,50,175,48,138,0,0,0,0,0,0,0,0,0,0,-21.800729323133545,-72.27054655123483,-31.92384998492451,-69.53324213531184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939,1,1,1,1,0,0,0,0,0,0,0,0,0,0,49,175,69,101,0,0,0,0,0,0,0,0,0,0,-21.386356526724896,-77.26594416005523,-39.89602973031339,-58.93637121917811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,1,1,1,1,1,1,0,0,0,0,0,0,0,0,62,206,228,87,47,166,0,0,0,0,0,0,0,0,-23.188564987024208,-70.36880387653432,-100.23270295822,-45.79259217614663,-23.882803842088148,-126.41331456166986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
941,1,1,1,1,1,1,1,1,1,1,1,1,0,0,57,389,46,93,157,78,96,187,333,326,115,148,0,0,-21.507088917139182,-136.26464911821105,-27.899291605794023,-48.26485844141461,-82.59375456342524,-43.89783517136592,-71.44145113335117,-116.06875670775048,-278.43287978049085,-117.72722480231351,-64.46991523473892,-82.35285778720487,0.0,0.0
942,1,1,1,1,1,1,1,1,0,0,0,0,0,0,54,225,40,99,52,102,57,338,0,0,0,0,0,0,-21.504798351044936,-89.60737760377185,-24.772257359233425,-50.684194070967365,-26.66829217536608,-68.10442807878806,-28.932224693687985,-184.24355171175978,0.0,0.0,0.0,0.0,0.0,0.0
943,1,1,1,1,0,0,0,0,0,0,0,0,0,0,68,158,55,117,0,0,0,0,0,0,0,0,0,0,-23.473947688698434,-65.54522589536865,-28.303981100078655,-54.67128493531108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,56,264,39,98,36,109,245,67,253,287,142,92,173,578,-21.672486242638676,-75.02234907944188,-22.216199202761672,-49.70256697464184,-19.360973222052916,-67.14496184892269,-171.12852407781736,-41.29292081436673,-145.5334705315075,-130.7882582643428,-78.57705581151825,-56.23942717912805,-109.80171153320582,-255.33597224753296
945,1,1,1,1,1,0,0,0,0,0,0,0,0,0,53,129,69,100,48,0,0,0,0,0,0,0,0,0,-22.977667177367554,-57.38360220163819,-36.60481606125857,-56.14374928034751,-26.631286810993938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,1,1,1,1,1,0,0,0,0,0,0,0,0,0,47,243,40,108,54,0,0,0,0,0,0,0,0,0,-20.268193716957036,-100.24884618193789,-20.724258381565523,-60.583533592317536,-30.355699368861774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,1,1,1,1,1,1,1,1,0,0,0,0,0,0,49,382,60,284,259,111,276,73,0,0,0,0,0,0,-20.62066923778937,-177.6222922370525,-29.074883636804557,-105.6530211989416,-137.58407284018617,-66.7435387762458,-176.64015254346458,-43.91124023871238,0.0,0.0,0.0,0.0,0.0,0.0
948,1,1,1,1,0,0,0,0,0,0,0,0,0,0,49,312,42,154,0,0,0,0,0,0,0,0,0,0,-20.891736265515064,-92.33263497867158,-25.518882358643147,-76.12526909664399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,1,1,1,1,1,1,1,1,1,1,1,1,0,0,129,220,72,107,271,82,195,63,375,367,65,83,0,0,-32.059535526596456,-110.97452898812894,-42.8828860731953,-56.40782074970064,-145.05059619943285,-49.32653007512795,-123.96835769260632,-40.13006684192064,-278.14421028937755,-204.44698566596674,-38.39641605496355,-42.91307226191732,0.0,0.0
950,1,1,1,1,1,1,1,1,1,0,0,0,0,0,54,170,64,100,60,130,234,64,287,0,0,0,0,0,-21.658736026512347,-75.1060867741226,-20.204516018465718,-52.7557669015924,-33.96005108076332,-65.47438193978448,-252.38535902356622,-35.313851869607596,-185.1148611437092,0.0,0.0,0.0,0.0,0.0
951,1,1,1,1,1,1,1,1,0,0,0,0,0,0,52,275,41,114,42,108,122,60,0,0,0,0,0,0,-22.283748105904245,-83.85810244323683,-22.901405036002824,-58.96258604317137,-21.24630893409277,-48.12987373719975,-68.78966141396423,-30.45896886610414,0.0,0.0,0.0,0.0,0.0,0.0
952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.62889393402189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,1,1,1,1,1,0,0,0,0,0,0,0,0,0,53,168,40,105,169,0,0,0,0,0,0,0,0,0,-22.35778103390779,-88.83136175365388,-24.82082443317929,-56.01854770086138,-72.02851569965608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,1,1,1,1,1,1,1,1,0,0,0,0,0,0,57,177,67,78,54,162,153,74,0,0,0,0,0,0,-22.42733292690959,-63.06187842233777,-34.55633622871301,-42.663553547543565,-26.694669406396176,-95.40339827134153,-84.09884332800965,-47.56783288299963,0.0,0.0,0.0,0.0,0.0,0.0
